user_id,neighbor_id,periods,total_timesteps
P_1-2_1990,P_1-3_5334,"[{'start_time': 19495, 'end_time': 19514, 'duration': 20}, {'start_time': 19495, 'end_time': 19514, 'duration': 20}]",7199
P_1-2_1990,P_1-1-pt_7732,"[{'start_time': 19689, 'end_time': 19712, 'duration': 24}, {'start_time': 19689, 'end_time': 19712, 'duration': 24}]",7199
P_1-2_1990,P_1-1-pt_5115,"[{'start_time': 20617, 'end_time': 20640, 'duration': 24}, {'start_time': 20617, 'end_time': 20640, 'duration': 24}]",7199
P_1-2_1990,P_1-2_3386,"[{'start_time': 23651, 'end_time': 23662, 'duration': 12}, {'start_time': 23651, 'end_time': 23662, 'duration': 12}]",7199
P_1-2_1990,P_1-2_3575,"[{'start_time': 23790, 'end_time': 23814, 'duration': 25}, {'start_time': 23790, 'end_time': 23814, 'duration': 25}]",7199
P_1-3_2374,P_1-3_2187,"[{'start_time': 18783, 'end_time': 18801, 'duration': 19}, {'start_time': 18783, 'end_time': 18801, 'duration': 19}]",7199
P_1-3_2374,P_2-1_213,"[{'start_time': 21807, 'end_time': 21825, 'duration': 19}, {'start_time': 21807, 'end_time': 21825, 'duration': 19}]",7199
P_1-3_2374,P_1-3_3132,"[{'start_time': 21874, 'end_time': 21892, 'duration': 19}, {'start_time': 21874, 'end_time': 21892, 'duration': 19}]",7199
P_1-3_2410,P_1-2_4634,"[{'start_time': 20186, 'end_time': 20210, 'duration': 25}, {'start_time': 20186, 'end_time': 20210, 'duration': 25}, {'start_time': 21807, 'end_time': 21831, 'duration': 25}, {'start_time': 21807, 'end_time': 21831, 'duration': 25}, {'start_time': 24432, 'end_time': 24456, 'duration': 25}, {'start_time': 24432, 'end_time': 24456, 'duration': 25}]",7197
P_1-3_2410,P_1-3_4775,"[{'start_time': 20501, 'end_time': 20530, 'duration': 30}, {'start_time': 20501, 'end_time': 20530, 'duration': 30}, {'start_time': 22137, 'end_time': 22161, 'duration': 25}, {'start_time': 22137, 'end_time': 22161, 'duration': 25}, {'start_time': 24819, 'end_time': 24843, 'duration': 25}, {'start_time': 24819, 'end_time': 24843, 'duration': 25}]",7197
P_1-3_2410,P_1-3_3253,"[{'start_time': 20764, 'end_time': 20788, 'duration': 25}, {'start_time': 20764, 'end_time': 20788, 'duration': 25}, {'start_time': 25028, 'end_time': 25052, 'duration': 25}, {'start_time': 25028, 'end_time': 25052, 'duration': 25}]",7197
P_1-3_2410,P_1-3_2018,"[{'start_time': 20968, 'end_time': 20997, 'duration': 30}, {'start_time': 20968, 'end_time': 20997, 'duration': 30}]",7197
P_1-3_2410,P_1-3_2633,"[{'start_time': 21070, 'end_time': 21094, 'duration': 25}, {'start_time': 21070, 'end_time': 21094, 'duration': 25}]",7197
P_1-3_2410,P_1-2_5210,"[{'start_time': 21258, 'end_time': 21282, 'duration': 25}, {'start_time': 21258, 'end_time': 21282, 'duration': 25}]",7197
P_1-3_2410,P_1-2_573,"[{'start_time': 21271, 'end_time': 21295, 'duration': 25}, {'start_time': 21271, 'end_time': 21295, 'duration': 25}]",7197
P_1-3_2410,P_1-3_4954,"[{'start_time': 21327, 'end_time': 21351, 'duration': 25}, {'start_time': 21327, 'end_time': 21351, 'duration': 25}, {'start_time': 24205, 'end_time': 24230, 'duration': 26}, {'start_time': 24205, 'end_time': 24230, 'duration': 26}]",7197
P_1-3_2410,P_1-3_4875,"[{'start_time': 21475, 'end_time': 21499, 'duration': 25}, {'start_time': 21475, 'end_time': 21499, 'duration': 25}, {'start_time': 24735, 'end_time': 24760, 'duration': 26}, {'start_time': 24735, 'end_time': 24760, 'duration': 26}]",7197
P_1-3_2410,P_1-3_3410,"[{'start_time': 21750, 'end_time': 21774, 'duration': 25}, {'start_time': 21750, 'end_time': 21774, 'duration': 25}]",7197
P_1-1-veh_105,P_1-3_3046,"[{'start_time': 18409, 'end_time': 18428, 'duration': 20}, {'start_time': 18409, 'end_time': 18428, 'duration': 20}]",7196
P_1-1-veh_105,P_1-1-veh_234,"[{'start_time': 18990, 'end_time': 19008, 'duration': 19}, {'start_time': 18990, 'end_time': 19008, 'duration': 19}]",7196
P_1-1-veh_105,P_1-1-pt_6538,"[{'start_time': 19803, 'end_time': 19813, 'duration': 11}, {'start_time': 19803, 'end_time': 19813, 'duration': 11}]",7196
P_1-1-veh_105,P_1-2_1596,"[{'start_time': 20253, 'end_time': 20272, 'duration': 20}, {'start_time': 20253, 'end_time': 20272, 'duration': 20}]",7196
P_1-1-veh_105,P_1-3_4168,"[{'start_time': 20311, 'end_time': 20330, 'duration': 20}, {'start_time': 20311, 'end_time': 20330, 'duration': 20}]",7196
P_1-1-veh_105,P_1-2_3081,"[{'start_time': 20464, 'end_time': 20482, 'duration': 19}, {'start_time': 20464, 'end_time': 20482, 'duration': 19}]",7196
P_1-1-veh_105,P_1-1-pt_7080,"[{'start_time': 20754, 'end_time': 20764, 'duration': 11}, {'start_time': 20754, 'end_time': 20764, 'duration': 11}]",7196
P_1-1-veh_105,P_1-1-pt_7763,"[{'start_time': 21556, 'end_time': 21566, 'duration': 11}, {'start_time': 21556, 'end_time': 21566, 'duration': 11}]",7196
P_1-1-veh_105,P_1-3_2323,"[{'start_time': 21893, 'end_time': 21914, 'duration': 22}, {'start_time': 21893, 'end_time': 21914, 'duration': 22}]",7196
P_1-1-veh_105,P_1-3_528,"[{'start_time': 22048, 'end_time': 22066, 'duration': 19}, {'start_time': 22048, 'end_time': 22066, 'duration': 19}]",7196
P_1-1-veh_105,P_1-1-pt_1108,"[{'start_time': 23258, 'end_time': 23281, 'duration': 24}, {'start_time': 23258, 'end_time': 23281, 'duration': 24}, {'start_time': 24415, 'end_time': 24502, 'duration': 88}, {'start_time': 24415, 'end_time': 24502, 'duration': 88}]",7196
P_1-1-veh_105,P_1-1-pt_1226,"[{'start_time': 23269, 'end_time': 23290, 'duration': 22}, {'start_time': 23269, 'end_time': 23290, 'duration': 22}]",7196
P_1-1-veh_105,P_1-1-pt_1304,"[{'start_time': 24073, 'end_time': 24123, 'duration': 51}, {'start_time': 24073, 'end_time': 24123, 'duration': 51}]",7196
P_1-1-veh_105,P_1-1-pt_8137,"[{'start_time': 24797, 'end_time': 24846, 'duration': 50}, {'start_time': 24797, 'end_time': 24846, 'duration': 50}]",7196
P_1-1-veh_105,P_1-1-pt_6453,"[{'start_time': 25017, 'end_time': 25037, 'duration': 21}, {'start_time': 25017, 'end_time': 25037, 'duration': 21}]",7196
P_1-3_2221,P_1-2_3214,"[{'start_time': 18734, 'end_time': 18753, 'duration': 20}, {'start_time': 18734, 'end_time': 18753, 'duration': 20}]",7190
P_1-3_2221,P_1-2_3590,"[{'start_time': 19579, 'end_time': 19595, 'duration': 17}, {'start_time': 19579, 'end_time': 19595, 'duration': 17}]",7190
P_1-3_2221,P_1-2_2473,"[{'start_time': 19751, 'end_time': 19769, 'duration': 19}, {'start_time': 19751, 'end_time': 19769, 'duration': 19}]",7190
P_1-3_2221,P_1-3_1945,"[{'start_time': 19793, 'end_time': 19811, 'duration': 19}, {'start_time': 19793, 'end_time': 19811, 'duration': 19}]",7190
P_1-3_2221,P_1-2_3702,"[{'start_time': 19818, 'end_time': 19836, 'duration': 19}, {'start_time': 19818, 'end_time': 19836, 'duration': 19}]",7190
P_1-3_2221,P_1-2_848,"[{'start_time': 19948, 'end_time': 19967, 'duration': 20}, {'start_time': 19948, 'end_time': 19967, 'duration': 20}]",7190
P_1-3_2221,P_1-1-pt_2820,"[{'start_time': 24485, 'end_time': 24562, 'duration': 78}, {'start_time': 24485, 'end_time': 24562, 'duration': 78}, {'start_time': 24572, 'end_time': 25196, 'duration': 625}, {'start_time': 24572, 'end_time': 25196, 'duration': 625}]",7190
P_1-3_2221,P_1-1-pt_3097,"[{'start_time': 25149, 'end_time': 25200, 'duration': 52}, {'start_time': 25149, 'end_time': 25200, 'duration': 52}]",7190
