user_id,neighbor,duration
P_1-1-pt_8289,P_1-2_638,715.0
P_1-1-pt_8289,P_1-2_5753,117.0
P_1-1-pt_8289,P_1-1-veh_834,106.0
P_1-1-pt_8289,P_1-1-veh_530,24.0
P_1-1-pt_8289,P_1-3_743,47.0
P_1-1-pt_8289,P_1-3_2599,23.0
P_1-1-pt_8289,P_1-2_5745,23.0
P_1-1-pt_8289,P_1-1-pt_8735,24.0
P_1-1-pt_8289,P_1-2_4266,23.0
P_1-1-pt_8289,P_1-3_3076,24.0
P_1-1-pt_8289,P_1-1-pt_182,24.0
P_1-1-pt_8289,P_1-3_4289,23.0
P_1-2_638,P_1-1-pt_8289,715.0
P_1-2_638,P_1-1-pt_8184,98.0
P_1-1-pt_7040,P_1-1-pt_7123,1609.0
P_1-1-pt_7040,P_2-1_2384,10.0
P_1-1-pt_7040,P_2-1_600,11.0
P_1-1-pt_7123,P_1-1-pt_7040,1609.0
P_1-1-pt_7123,P_2-1_2384,18.0
P_1-1-pt_8545,P_1-2_5640,43.0
P_1-1-pt_8545,P_1-2_3575,669.0
P_1-1-pt_8545,P_1-1-pt_6368,16.0
P_1-1-pt_8545,P_1-2_3052,22.0
P_1-1-pt_8545,P_1-1-pt_2606,25.0
P_1-1-pt_8545,P_1-3_1737,19.0
P_1-1-pt_8545,P_1-1-pt_1238,27.0
P_1-1-pt_8545,P_1-1-pt_3916,27.0
P_1-1-pt_8545,P_1-1-pt_5193,1862.0
P_1-1-pt_8545,P_1-1-pt_1226,27.0
P_1-1-pt_8545,P_1-1-pt_3624,25.0
P_1-1-pt_8545,P_1-1-pt_1304,11.0
P_1-1-pt_8545,P_2-1_3764,20.0
P_1-1-pt_8545,P_2-1_2925,20.0
P_1-1-pt_8545,P_1-1-veh_792,25.0
P_1-1-pt_8545,P_2-1_63,32.0
P_1-1-pt_8545,P_1-2_1612,36.0
P_1-1-pt_8545,P_1-1-pt_6453,24.0
P_1-1-pt_8545,P_1-1-pt_8728,12.0
P_1-1-pt_8545,P_1-2_4483,12.0
P_1-2_5640,P_1-1-pt_8545,43.0
P_1-2_5640,P_2-1_2045,19.0
P_1-2_5640,P_1-3_4875,25.0
P_1-2_5640,P_1-2_568,37.0
P_1-2_5640,P_1-1-pt_2952,36.0
P_1-2_5640,P_1-1-veh_5,25.0
P_1-2_5640,P_1-2_1066,148.0
P_1-2_5640,P_1-2_3835,236.0
P_1-1-pt_5167,P_1-1-pt_6355,27.0
P_1-1-pt_5167,P_1-1-pt_1747,604.0
P_1-1-pt_5167,P_1-1-pt_3858,146.0
P_1-1-pt_5167,P_1-1-pt_521,724.0
P_1-1-pt_5167,P_1-1-pt_6974,331.0
P_1-1-pt_5167,P_1-1-pt_3671,570.0
P_1-1-pt_5167,P_1-1-pt_4262,28.0
P_1-1-pt_5167,P_1-1-pt_98,281.0
P_1-1-pt_5167,P_1-1-pt_3207,138.0
P_1-1-pt_5167,P_1-1-pt_1497,442.0
P_1-1-pt_5167,P_1-1-pt_6743,77.0
P_1-1-pt_5167,P_1-1-pt_4736,83.0
P_1-1-pt_5167,P_1-1-pt_2880,203.0
P_1-1-pt_5167,P_1-1-pt_2920,27.0
P_1-1-pt_5167,P_1-2_4940,28.0
P_1-1-pt_5167,P_1-1-pt_2369,24.0
P_1-1-pt_5167,P_1-1-pt_7573,29.0
P_1-1-pt_5167,P_1-1-veh_767,25.0
P_1-1-pt_5167,P_1-1-pt_2013,122.0
P_1-1-pt_5167,P_1-2_303,16.0
P_1-1-pt_6355,P_1-1-pt_5167,27.0
P_1-1-pt_6355,P_1-1-pt_1747,26.0
P_1-1-pt_6355,P_1-1-pt_1601,28.0
P_1-1-pt_6355,P_1-2_4454,10.0
P_1-1-pt_6355,P_1-1-pt_7938,24.0
P_1-1-pt_6355,P_1-1-pt_3931,26.0
P_1-1-pt_6355,P_1-1-pt_3353,26.0
P_1-1-pt_1747,P_1-1-pt_6355,26.0
P_1-1-pt_1747,P_1-1-pt_5167,604.0
P_1-1-pt_1747,P_1-1-pt_3858,608.0
P_1-1-pt_1747,P_1-1-pt_521,137.0
P_1-1-pt_1747,P_1-1-pt_3671,550.0
P_1-1-pt_1747,P_1-1-pt_4262,25.0
P_1-1-pt_1747,P_1-1-pt_98,303.0
P_1-1-pt_1747,P_1-1-pt_3207,133.0
P_1-1-pt_1747,P_1-1-pt_6974,518.0
P_1-1-pt_1747,P_1-1-pt_1497,159.0
P_1-1-pt_1747,P_1-1-pt_6743,58.0
P_1-1-pt_1747,P_1-1-pt_4736,82.0
P_1-1-pt_1747,P_1-1-pt_2880,82.0
P_1-1-pt_1747,P_1-1-pt_2920,27.0
P_1-1-pt_1747,P_1-2_4940,21.0
P_1-1-pt_1747,P_1-1-veh_610,82.0
P_1-1-pt_1747,P_1-1-pt_6673,20.0
P_1-1-pt_1747,P_1-1-pt_7573,28.0
P_1-1-pt_1747,P_1-1-veh_767,25.0
P_1-1-pt_1747,P_1-1-pt_2013,25.0
P_1-1-pt_1747,P_1-2_303,15.0
P_1-1-pt_6931,P_1-3_2955,258.0
P_1-1-pt_6931,P_1-1-pt_4996,28.0
P_1-1-pt_6931,P_1-1-pt_3386,30.0
P_1-1-pt_6931,P_1-1-pt_3067,42.0
P_1-1-pt_6931,P_1-1-pt_776,26.0
P_1-1-pt_6931,P_1-2_303,37.0
P_1-1-pt_6931,P_1-1-pt_1226,32.0
P_1-1-pt_6931,P_1-1-pt_5199,27.0
P_1-1-pt_6931,P_1-3_4690,264.0
P_1-1-pt_6931,P_1-1-pt_1473,27.0
P_1-1-pt_6931,P_2-1_2136,18.0
P_1-1-pt_6931,P_1-1-veh_65,20.0
P_1-1-pt_6931,P_1-1-pt_2529,25.0
P_1-1-pt_6931,P_1-1-pt_8830,25.0
P_1-1-pt_6931,P_1-3_3759,31.0
P_1-3_2955,P_1-1-pt_6931,258.0
P_1-3_2955,P_1-1-pt_530,11.0
P_1-3_2955,P_1-2_2875,22.0
P_1-3_2955,P_1-3_2323,14.0
P_1-3_2955,P_1-3_3494,44.0
P_1-3_2955,P_1-3_4690,26.0
P_1-1-veh_105,P_1-3_3046,19.0
P_1-1-veh_105,P_1-1-veh_234,18.0
