cellid,radio,mcc,mnc,lac,x,y,range,samples,averageSignalStrength,changeable
11393,LTE,212,10,561,4129.74512653303,1432.9865651587,1000,1,0,1
2855,LTE,212,10,12603,4615.07606286195,1534.81971405633,500,1,0,1
4292,LTE,212,10,12603,5100.3908810665,1636.68786014896,1000,1,0,1
4681,LTE,212,10,12603,5269.88530671632,2077.88841223624,500,1,0,1
11534,LTE,212,10,12603,4873.59010007401,2418.73386278748,500,1,0,1
102666825,LTE,212,10,619,5774.0441991355,3179.38535064086,1000,1,0,1
2995528,LTE,212,10,619,6180.80023370852,3393.91670099087,1000,1,0,1
11762,LTE,212,10,561,5386.587171,1689.377375,1000,1,0,1
11579,LTE,212,10,12603,4781.672401,1728.548465,500,1,0,1
5073,LTE,212,10,12603,4854.065504,2844.773696,1000,1,0,1
22997,LTE,212,10,12603,4201.464692,1046.41761,500,1,0,1
8749,LTE,212,10,12603,3627.281757,1526.384963,1000,1,0,1
3629,LTE,212,10,619,6377.954578,3150.474885,500,1,0,1
3342,LTE,212,10,12603,6271.383798,3043.676157,1000,1,0,1
5796,LTE,212,10,12603,6162.848136,2932.436243,1000,1,0,1
