id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P0_L_8AACNU6D,1,7200,7200,P0,LTE,7200.0,1.0
P1_B_2GJZYX2T,1,7200,7200,P1,Bluetooth,7200.0,1.0
P10_L_Z9GCXAMU,1,7200,7200,P10,LTE,7200.0,1.0
P100_B_4PT0F7U8,1,7200,7200,P100,Bluetooth,7200.0,1.0
P101_B_L5J86E4R,1,7200,7200,P101,Bluetooth,7200.0,1.0
P102_B_GQ8LGA2R,1,7200,7200,P102,Bluetooth,7200.0,1.0
P103_B_RYBKLCBJ,1,7200,7200,P103,Bluetooth,7200.0,1.0
P104_B_YS2PKFZM,1,7200,7200,P104,Bluetooth,7200.0,1.0
P105_B_MTTW9JNH,1,7200,7200,P105,Bluetooth,7200.0,1.0
P106_L_4BX3Q9IY,1,7200,7200,P106,LTE,7200.0,1.0
P107_B_9B6HVQFR,1,7200,7200,P107,Bluetooth,7200.0,1.0
P108_B_EGU2OSS5,1,7200,7200,P108,Bluetooth,7200.0,1.0
P109_L_US799IEU,1,7200,7200,P109,LTE,7200.0,1.0
P11_L_MPKK91I4,1,7200,7200,P11,LTE,7200.0,1.0
P110_L_8Z75NNVL,1,7200,7200,P110,LTE,7200.0,1.0
P111_B_09YDTDET,1,7200,7200,P111,Bluetooth,7200.0,1.0
P112_L_WNIPJEXR,1,7200,7200,P112,LTE,7200.0,1.0
P113_L_CUW1VTRC,1,7200,7200,P113,LTE,7200.0,1.0
P114_L_H34VPTOM,2668,7200,4533,P114,LTE,7200.0,0.6295833333333334
P115_B_B7BYUJPL,1,7200,7200,P115,Bluetooth,7200.0,1.0
P116_B_51SWP37V,1,7200,7200,P116,Bluetooth,7200.0,1.0
P117_B_HXBNNYPR,1,7200,7200,P117,Bluetooth,7200.0,1.0
P118_B_BT1PRYFZ,1,7200,7200,P118,Bluetooth,7200.0,1.0
P119_L_GKRLX5YV,1,7200,7200,P119,LTE,7200.0,1.0
P12_L_ZMIZJLFT,1,7200,7200,P12,LTE,7200.0,1.0
P120_B_YVIMFNT2,1,7200,7200,P120,Bluetooth,7200.0,1.0
P121_B_MDAWKHD4,1,7200,7200,P121,Bluetooth,7200.0,1.0
P122_B_DEV4DS4E,1,7200,7200,P122,Bluetooth,7200.0,1.0
P123_B_ADIVAL87,1,7200,7200,P123,Bluetooth,7200.0,1.0
