id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P0_L_4SPHUGIR,1,6297,6297,P0,LTE,7200.0,0.8745833333333334
P1_L_45DU7UAW,1,7200,7200,P1,LTE,7200.0,1.0
P10_L_FM7TU15L,1,7200,7200,P10,LTE,7200.0,1.0
P100_B_W8Q7YZ54,1,7200,7200,P100,Bluetooth,7200.0,1.0
P1000_B_MOSH11V9,1,7200,7200,P1000,Bluetooth,7200.0,1.0
P1001_L_H55RM4TV,1,7200,7200,P1001,LTE,7200.0,1.0
P1002_L_Y01AV77W,1,7200,7200,P1002,LTE,7200.0,1.0
P1003_B_LD0QAEZE,1,7200,7200,P1003,Bluetooth,7200.0,1.0
P1004_B_COVC7NA9,1,7200,7200,P1004,Bluetooth,7200.0,1.0
P1005_B_RQ9LDI6H,1,7200,7200,P1005,Bluetooth,7200.0,1.0
P1006_B_LJ80WN96,1,7200,7200,P1006,Bluetooth,7200.0,1.0
P1007_B_C8JV2GD7,1,7200,7200,P1007,Bluetooth,7200.0,1.0
P1008_B_UWQIONHU,1,7200,7200,P1008,Bluetooth,7200.0,1.0
P1009_L_3KBL6B45,1,7200,7200,P1009,LTE,7200.0,1.0
P101_B_NFAII8EB,1,7200,7200,P101,Bluetooth,7200.0,1.0
P1010_B_IYEM5OM3,1,7200,7200,P1010,Bluetooth,7200.0,1.0
P1011_B_BZOV3U4D,1,7200,7200,P1011,Bluetooth,7200.0,1.0
P1012_L_MES2M17M,1,7200,7200,P1012,LTE,7200.0,1.0
P1013_B_IEQAEMR9,1,6519,6519,P1013,Bluetooth,7200.0,0.9054166666666666
P1014_B_VFZ0CMV9,1,7200,7200,P1014,Bluetooth,7200.0,1.0
P1015_B_RDD4F4JM,1,7200,7200,P1015,Bluetooth,7200.0,1.0
P1016_B_5X6V3UT9,1,7200,7200,P1016,Bluetooth,7200.0,1.0
P1017_L_LXQLICT0,1,7200,7200,P1017,LTE,7200.0,1.0
P1018_L_F2975LJ9,1,7200,7200,P1018,LTE,7200.0,1.0
P1019_L_N1CZOF1T,1,7200,7200,P1019,LTE,7200.0,1.0
P102_B_FGHKJSJG,1,7200,7200,P102,Bluetooth,7200.0,1.0
P1020_B_W5LWN0CG,1,7200,7200,P1020,Bluetooth,7200.0,1.0
P1021_L_1XLS9EGY,1,7200,7200,P1021,LTE,7200.0,1.0
P1022_B_Q6NK8JTS,639,5003,4365,P1022,Bluetooth,7200.0,0.60625
P1023_L_APDGYXJ9,1,7200,7200,P1023,LTE,7200.0,1.0
P103_B_3NV75GZK,1,7200,7200,P103,Bluetooth,7200.0,1.0
P104_B_ZDL83UYD,1,7200,7200,P104,Bluetooth,7200.0,1.0
P105_B_S1X6YHB3,1,7200,7200,P105,Bluetooth,7200.0,1.0
P106_B_JN3YOBIT,1,7200,7200,P106,Bluetooth,7200.0,1.0
P107_B_QIMMAXCK,1,7200,7200,P107,Bluetooth,7200.0,1.0
P108_B_E7VV55P3,1,7200,7200,P108,Bluetooth,7200.0,1.0
P109_L_TPR4CDNS,1,7200,7200,P109,LTE,7200.0,1.0
P11_B_W8L9V74Q,1,7200,7200,P11,Bluetooth,7200.0,1.0
P110_B_9DDB4SAK,1,7200,7200,P110,Bluetooth,7200.0,1.0
P111_L_OD7IFV80,1,7200,7200,P111,LTE,7200.0,1.0
P112_L_DPL5WMXF,1,7200,7200,P112,LTE,7200.0,1.0
P113_B_8MK4L9DG,1,7200,7200,P113,Bluetooth,7200.0,1.0
P114_B_ICJRREVX,3824,7200,3377,P114,Bluetooth,7200.0,0.46902777777777777
P115_L_3Y4SNW81,1,7200,7200,P115,LTE,7200.0,1.0
P116_B_HBHKV8VO,1,7200,7200,P116,Bluetooth,7200.0,1.0
P117_L_T6XN943F,1,7200,7200,P117,LTE,7200.0,1.0
P118_B_XV0KB44X,1,7200,7200,P118,Bluetooth,7200.0,1.0
P119_B_BMEGLCQ4,1,7200,7200,P119,Bluetooth,7200.0,1.0
P12_L_OAY1FY7R,1,5974,5974,P12,LTE,7200.0,0.8297222222222222
P120_B_QTUFBASN,1,7200,7200,P120,Bluetooth,7200.0,1.0
P121_B_WKANFF54,1,3888,3888,P121,Bluetooth,7200.0,0.54
