id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P0_B_G4916YNY,1,7200,7200,P0,Bluetooth,7200.0,1.0
P1_L_2HBBNVAL,1,7200,7200,P1,LTE,7200.0,1.0
P10_L_6MRQDPBD,1,7200,7200,P10,LTE,7200.0,1.0
P100_B_SP3Z79AL,1,7200,7200,P100,Bluetooth,7200.0,1.0
P1000_B_KJHZBV61,1,7200,7200,P1000,Bluetooth,7200.0,1.0
P1001_L_C9T2XAMJ,1,7200,7200,P1001,LTE,7200.0,1.0
P1002_B_ZVM6PTO8,1,7200,7200,P1002,Bluetooth,7200.0,1.0
P1003_B_LHE4Y4Y5,1,7200,7200,P1003,Bluetooth,7200.0,1.0
P1004_B_TQI5ZJYC,1,7200,7200,P1004,Bluetooth,7200.0,1.0
P1005_B_OG5PLDFY,1,7200,7200,P1005,Bluetooth,7200.0,1.0
P1006_B_2XOZ7K6B,1,7200,7200,P1006,Bluetooth,7200.0,1.0
P1007_L_65SC3D7N,1,7200,7200,P1007,LTE,7200.0,1.0
P1008_B_IL1ZVR1B,1,7200,7200,P1008,Bluetooth,7200.0,1.0
P1009_L_VOSC4MSO,1,7200,7200,P1009,LTE,7200.0,1.0
P101_L_GE5S4GE2,1,7200,7200,P101,LTE,7200.0,1.0
P1010_B_A7D6PK47,1,7200,7200,P1010,Bluetooth,7200.0,1.0
P1011_B_IJX647Q2,1,7200,7200,P1011,Bluetooth,7200.0,1.0
P1012_L_GDJE8FLL,1,7200,7200,P1012,LTE,7200.0,1.0
P1013_B_BMCUPC6K,1,7200,7200,P1013,Bluetooth,7200.0,1.0
P1014_B_MZVXS2NP,1,7200,7200,P1014,Bluetooth,7200.0,1.0
P1015_L_VR7CEETS,1,7200,7200,P1015,LTE,7200.0,1.0
P1016_L_6WF7HWAW,1,7200,7200,P1016,LTE,7200.0,1.0
P1017_L_O78QYL9P,1,7200,7200,P1017,LTE,7200.0,1.0
P1018_L_TLH1K6KO,1,7200,7200,P1018,LTE,7200.0,1.0
P1019_B_L718HSA3,1,7200,7200,P1019,Bluetooth,7200.0,1.0
P102_L_YC67485J,1,7200,7200,P102,LTE,7200.0,1.0
P1020_B_ZKWUGK73,1,7200,7200,P1020,Bluetooth,7200.0,1.0
P1021_L_GEX07QNI,2831,7200,4370,P1021,LTE,7200.0,0.6069444444444444
P1022_B_U5AN0JDG,1,7200,7200,P1022,Bluetooth,7200.0,1.0
P1023_L_QWYAXZ0A,1,7200,7200,P1023,LTE,7200.0,1.0
P1024_B_8LCNCWQ7,2451,7200,4750,P1024,Bluetooth,7200.0,0.6597222222222222
P1025_L_XJVI9AUN,1,7200,7200,P1025,LTE,7200.0,1.0
P1026_L_HOIOTB9Q,1,7200,7200,P1026,LTE,7200.0,1.0
P1027_B_GJL60OOS,1,7200,7200,P1027,Bluetooth,7200.0,1.0
P1028_L_XHNADF2I,1,7200,7200,P1028,LTE,7200.0,1.0
P1029_B_1PLEG9VR,1,7200,7200,P1029,Bluetooth,7200.0,1.0
P103_L_SFEDOGU3,1,7200,7200,P103,LTE,7200.0,1.0
P1030_L_K0K9RTY5,1,7200,7200,P1030,LTE,7200.0,1.0
P1031_B_ZRB9TZPD,1,7149,7149,P1031,Bluetooth,7200.0,0.9929166666666667
P1032_L_Q71V5ZNQ,1,7200,7200,P1032,LTE,7200.0,1.0
