id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-1-pt_0_L_3AF4NIUV,19303.0,25200.0,5898.0,P_1-1-pt_0,LTE,5898.0,1.0
P_1-1-pt_1006_B_N6HI2FY5,18151.0,25200.0,7050.0,P_1-1-pt_1006,Bluetooth,7050.0,1.0
P_1-1-pt_1037_L_KWQTD3FU,19463.0,25200.0,5738.0,P_1-1-pt_1037,LTE,5840.0,0.9825342465753425
P_1-1-pt_1039_L_HMXAXBB0,19851.0,24802.0,4952.0,P_1-1-pt_1039,LTE,6474.0,0.7649057769539698
P_1-1-pt_1108_L_5AV0ZN98,18505.0,25200.0,6696.0,P_1-1-pt_1108,LTE,6696.0,1.0
P_1-1-pt_1121_B_IBBYGV0E,19285.0,25200.0,5916.0,P_1-1-pt_1121,Bluetooth,5916.0,1.0
P_1-1-pt_1138_B_I0KK1GBR,19577.0,25123.0,5547.0,P_1-1-pt_1138,Bluetooth,5624.0,0.9863086770981507
P_1-1-pt_1167_B_EIO821GG,18943.0,25200.0,6258.0,P_1-1-pt_1167,Bluetooth,6258.0,1.0
P_1-1-pt_1173_B_I477B4BH,18820.0,25200.0,6381.0,P_1-1-pt_1173,Bluetooth,6381.0,1.0
P_1-1-pt_1226_B_CK1NH8US,19788.0,25200.0,5413.0,P_1-1-pt_1226,Bluetooth,5413.0,1.0
P_1-1-pt_1238_B_CUSGF2QP,18798.0,25200.0,6403.0,P_1-1-pt_1238,Bluetooth,6403.0,1.0
P_1-1-pt_1270_B_2L5CA7BP,18470.0,25200.0,6731.0,P_1-1-pt_1270,Bluetooth,6731.0,1.0
P_1-1-pt_1296_L_Y7NLP7UB,18847.0,25200.0,6354.0,P_1-1-pt_1296,LTE,6354.0,1.0
P_1-1-pt_1298_L_V2KFK563,18866.0,25200.0,6335.0,P_1-1-pt_1298,LTE,6335.0,1.0
P_1-1-pt_1304_B_FI8YHA45,19347.0,25200.0,5854.0,P_1-1-pt_1304,Bluetooth,5854.0,1.0
P_1-1-pt_1306_B_IGRUST10,19029.0,25200.0,6172.0,P_1-1-pt_1306,Bluetooth,6172.0,1.0
P_1-1-pt_1329_B_662J2VQB,18535.0,25200.0,6666.0,P_1-1-pt_1329,Bluetooth,6666.0,1.0
P_1-1-pt_1420_L_O1FZ6U8D,19045.0,25200.0,6156.0,P_1-1-pt_1420,LTE,6156.0,1.0
P_1-1-pt_1473_B_L8FOKDOM,19369.0,25200.0,5832.0,P_1-1-pt_1473,Bluetooth,5832.0,1.0
P_1-1-pt_1497_L_681XGJYX,19748.0,25200.0,5453.0,P_1-1-pt_1497,LTE,5453.0,1.0
P_1-1-pt_150_B_KBV72ABU,19310.0,25200.0,5891.0,P_1-1-pt_150,Bluetooth,5891.0,1.0
P_1-1-pt_1560_B_XNRQ2K7Q,18507.0,25200.0,6694.0,P_1-1-pt_1560,Bluetooth,6694.0,1.0
P_1-1-pt_1601_B_UPD8ISDG,19190.0,25200.0,6011.0,P_1-1-pt_1601,Bluetooth,6011.0,1.0
P_1-1-pt_1669_L_Y2ZTAR62,18414.0,25200.0,6787.0,P_1-1-pt_1669,LTE,7057.0,0.9617401161966841
P_1-1-pt_1700_B_6ONKZ5HE,19430.0,25200.0,5771.0,P_1-1-pt_1700,Bluetooth,5771.0,1.0
P_1-1-pt_1714_B_0S73WA7X,18687.0,25200.0,6514.0,P_1-1-pt_1714,Bluetooth,6514.0,1.0
P_1-1-pt_1723_L_DQX1SVK5,19764.0,25200.0,5437.0,P_1-1-pt_1723,LTE,5437.0,1.0
P_1-1-pt_1747_B_SZ8JYDOJ,18208.0,25031.0,6824.0,P_1-1-pt_1747,Bluetooth,6993.0,0.9758329758329758
P_1-1-pt_1798_B_PBW7VGTP,19627.0,25200.0,5574.0,P_1-1-pt_1798,Bluetooth,5574.0,1.0
P_1-1-pt_182_L_3EGNW9Z3,19060.0,25200.0,6141.0,P_1-1-pt_182,LTE,6141.0,1.0
P_1-1-pt_1966_B_QSFIOGWK,18875.0,25200.0,6326.0,P_1-1-pt_1966,Bluetooth,6326.0,1.0
P_1-1-pt_2013_L_FYE9I5HE,19118.0,24813.0,5696.0,P_1-1-pt_2013,LTE,6083.0,0.9363800756205819
P_1-1-pt_2032_L_Y85HRRYI,18740.0,25200.0,6461.0,P_1-1-pt_2032,LTE,6461.0,1.0
P_1-1-pt_2129_B_J4T9MMI9,18717.0,25200.0,6484.0,P_1-1-pt_2129,Bluetooth,6484.0,1.0
P_1-1-pt_2162_B_GLM5ADXO,18351.0,25200.0,6850.0,P_1-1-pt_2162,Bluetooth,6850.0,1.0
P_1-1-pt_2170_B_XYXY04I5,18672.0,25200.0,6529.0,P_1-1-pt_2170,Bluetooth,6529.0,1.0
P_1-1-pt_2297_B_97FCFTF5,19486.0,25200.0,5715.0,P_1-1-pt_2297,Bluetooth,5715.0,1.0
P_1-1-pt_2342_B_5UZDTAM5,18272.0,25200.0,6929.0,P_1-1-pt_2342,Bluetooth,6929.0,1.0
P_1-1-pt_2369_B_HGAE4PMD,18547.0,25200.0,6654.0,P_1-1-pt_2369,Bluetooth,6654.0,1.0
P_1-1-pt_2424_L_OLTPCUNJ,19481.0,25200.0,5720.0,P_1-1-pt_2424,LTE,5720.0,1.0
P_1-1-pt_2425_B_PNN7YTP1,18937.0,25200.0,6264.0,P_1-1-pt_2425,Bluetooth,6264.0,1.0
P_1-1-pt_2431_B_27TLC75P,18743.0,25200.0,6458.0,P_1-1-pt_2431,Bluetooth,6458.0,1.0
P_1-1-pt_2503_L_DLKFRZFH,19742.0,25200.0,5459.0,P_1-1-pt_2503,LTE,5459.0,1.0
P_1-1-pt_2529_L_KHEY8WA7,18564.0,25200.0,6637.0,P_1-1-pt_2529,LTE,6637.0,1.0
P_1-1-pt_255_B_QKAM6X2S,18079.0,25200.0,7122.0,P_1-1-pt_255,Bluetooth,7122.0,1.0
P_1-1-pt_2606_L_N0DOIQGD,18514.0,25200.0,6687.0,P_1-1-pt_2606,LTE,6687.0,1.0
P_1-1-pt_2718_L_W0DLN96B,19195.0,25200.0,6006.0,P_1-1-pt_2718,LTE,6006.0,1.0
P_1-1-pt_2770_L_S86JJVAI,18074.0,25200.0,7127.0,P_1-1-pt_2770,LTE,7127.0,1.0
P_1-1-pt_2808_L_XK7J7M5M,19783.0,25200.0,5418.0,P_1-1-pt_2808,LTE,5418.0,1.0
P_1-1-pt_2820_B_LV6U5ROF,18717.0,25200.0,6484.0,P_1-1-pt_2820,Bluetooth,6484.0,1.0
P_1-1-pt_2834_B_P0NFI412,19094.0,25200.0,6107.0,P_1-1-pt_2834,Bluetooth,6107.0,1.0
P_1-1-pt_2844_B_0W3FSSFY,18372.0,25200.0,6829.0,P_1-1-pt_2844,Bluetooth,6829.0,1.0
P_1-1-pt_2863_B_ZNFY6UG8,18772.0,25200.0,6429.0,P_1-1-pt_2863,Bluetooth,6429.0,1.0
P_1-1-pt_2880_B_7974RD1L,19303.0,25200.0,5898.0,P_1-1-pt_2880,Bluetooth,5898.0,1.0
P_1-1-pt_2920_B_LP5XV0UP,19077.0,25200.0,6124.0,P_1-1-pt_2920,Bluetooth,6124.0,1.0
P_1-1-pt_2952_B_DDABO74H,19812.0,25200.0,5389.0,P_1-1-pt_2952,Bluetooth,5567.0,0.968025866714568
P_1-1-pt_2961_L_KQQCSEC7,19115.0,25200.0,6086.0,P_1-1-pt_2961,LTE,6086.0,1.0
P_1-1-pt_297_L_2FXAQ3HB,19146.0,25200.0,6055.0,P_1-1-pt_297,LTE,6055.0,1.0
P_1-1-pt_3067_L_CBE7J65N,19288.0,25200.0,5913.0,P_1-1-pt_3067,LTE,5913.0,1.0
P_1-1-pt_3097_B_20H4Z35B,19028.0,25200.0,6173.0,P_1-1-pt_3097,Bluetooth,6173.0,1.0
P_1-1-pt_3176_B_J3PGF1M9,19489.0,25200.0,5712.0,P_1-1-pt_3176,Bluetooth,5712.0,1.0
P_1-1-pt_3207_L_HI83SIR8,19319.0,25200.0,5882.0,P_1-1-pt_3207,LTE,5882.0,1.0
P_1-1-pt_3230_L_0K32OD1X,19258.0,25200.0,5943.0,P_1-1-pt_3230,LTE,5943.0,1.0
P_1-1-pt_3275_B_JRNP20NA,18731.0,25200.0,6470.0,P_1-1-pt_3275,Bluetooth,6470.0,1.0
P_1-1-pt_3353_B_PEIZ05N6,19580.0,25200.0,5621.0,P_1-1-pt_3353,Bluetooth,5621.0,1.0
P_1-1-pt_3386_L_O210SQUR,19569.0,25200.0,5632.0,P_1-1-pt_3386,LTE,5632.0,1.0
P_1-1-pt_3409_L_QJ602NT0,19458.0,25200.0,5743.0,P_1-1-pt_3409,LTE,5743.0,1.0
P_1-1-pt_3489_B_OL4F2DVF,18706.0,25200.0,6495.0,P_1-1-pt_3489,Bluetooth,6495.0,1.0
P_1-1-pt_3512_L_GW6M6XTB,19780.0,25200.0,5421.0,P_1-1-pt_3512,LTE,5421.0,1.0
P_1-1-pt_3571_L_FLREG9MO,19289.0,25200.0,5912.0,P_1-1-pt_3571,LTE,5912.0,1.0
P_1-1-pt_3595_L_3IVMX1YU,19280.0,25200.0,5921.0,P_1-1-pt_3595,LTE,5921.0,1.0
P_1-1-pt_3624_L_AEBRJ33C,19340.0,25200.0,5861.0,P_1-1-pt_3624,LTE,5861.0,1.0
P_1-1-pt_3629_L_H5IIYF42,18123.0,25200.0,7078.0,P_1-1-pt_3629,LTE,7078.0,1.0
P_1-1-pt_3671_B_WKK3SF43,19158.0,25080.0,5923.0,P_1-1-pt_3671,Bluetooth,6243.0,0.948742591702707
P_1-1-pt_3769_B_3GJVNXER,18515.0,25200.0,6686.0,P_1-1-pt_3769,Bluetooth,6686.0,1.0
P_1-1-pt_3800_B_WDEFFMOR,19727.0,25200.0,5474.0,P_1-1-pt_3800,Bluetooth,5474.0,1.0
P_1-1-pt_3858_B_AXM47CZ4,18743.0,25200.0,6458.0,P_1-1-pt_3858,Bluetooth,6728.0,0.9598692033293698
P_1-1-pt_3916_B_Q61IHQI2,19697.0,25200.0,5504.0,P_1-1-pt_3916,Bluetooth,5504.0,1.0
P_1-1-pt_3927_B_H2PR5S1K,18522.0,25200.0,6679.0,P_1-1-pt_3927,Bluetooth,6679.0,1.0
P_1-1-pt_3931_B_NFHWELRK,19823.0,25200.0,5378.0,P_1-1-pt_3931,Bluetooth,5378.0,1.0
P_1-1-pt_394_B_J6BEOLRO,19727.0,24698.0,4972.0,P_1-1-pt_394,Bluetooth,5831.0,0.8526839307151431
P_1-1-pt_4262_L_M4C7PA0W,18959.0,25200.0,6242.0,P_1-1-pt_4262,LTE,6777.0,0.9210565146820127
P_1-1-pt_4380_B_TNUQFUZ9,19651.0,25200.0,5550.0,P_1-1-pt_4380,Bluetooth,5550.0,1.0
P_1-1-pt_4541_B_XJZISOK7,19408.0,24266.0,4859.0,P_1-1-pt_4541,Bluetooth,5793.0,0.8387709304332815
P_1-1-pt_4595_B_UATYKFJT,19577.0,25200.0,5624.0,P_1-1-pt_4595,Bluetooth,5624.0,1.0
P_1-1-pt_4645_B_A6SP1NA3,19046.0,25200.0,6155.0,P_1-1-pt_4645,Bluetooth,6155.0,1.0
P_1-1-pt_4671_L_0ANBNI7G,18353.0,25200.0,6848.0,P_1-1-pt_4671,LTE,6848.0,1.0
P_1-1-pt_4715_B_DTBYF66H,18725.0,25200.0,6476.0,P_1-1-pt_4715,Bluetooth,6476.0,1.0
P_1-1-pt_4736_L_61U01ZIY,18877.0,25200.0,6324.0,P_1-1-pt_4736,LTE,6324.0,1.0
P_1-1-pt_4785_B_ZP7QCA4R,19331.0,25200.0,5870.0,P_1-1-pt_4785,Bluetooth,5870.0,1.0
P_1-1-pt_4875_B_S5B1C0EH,18736.0,25200.0,6465.0,P_1-1-pt_4875,Bluetooth,6465.0,1.0
P_1-1-pt_4879_L_UCQTVBS5,18560.0,25200.0,6641.0,P_1-1-pt_4879,LTE,6641.0,1.0
P_1-1-pt_4901_B_4148LKVA,19765.0,25200.0,5436.0,P_1-1-pt_4901,Bluetooth,5436.0,1.0
P_1-1-pt_4919_B_MCUMV3LT,19769.0,25200.0,5432.0,P_1-1-pt_4919,Bluetooth,5432.0,1.0
P_1-1-pt_494_L_XVNY20DE,18453.0,25200.0,6748.0,P_1-1-pt_494,LTE,6748.0,1.0
P_1-1-pt_4966_B_QUWZD014,19185.0,25200.0,6016.0,P_1-1-pt_4966,Bluetooth,6016.0,1.0
P_1-1-pt_498_B_0BO5BEEQ,19755.0,25200.0,5446.0,P_1-1-pt_498,Bluetooth,5446.0,1.0
P_1-1-pt_4996_L_AF2BCJ9F,18341.0,25200.0,6860.0,P_1-1-pt_4996,LTE,6860.0,1.0
P_1-1-pt_5078_L_5RZLG8S3,18039.0,25200.0,7162.0,P_1-1-pt_5078,LTE,7162.0,1.0
P_1-1-pt_5115_B_3R8NH8F4,18686.0,25200.0,6515.0,P_1-1-pt_5115,Bluetooth,6515.0,1.0
P_1-1-pt_5139_L_UG7FWAP0,18076.0,25200.0,7125.0,P_1-1-pt_5139,LTE,7125.0,1.0
P_1-1-pt_5167_B_1ILMY06X,19274.0,25012.0,5739.0,P_1-1-pt_5167,Bluetooth,7055.0,0.8134656272147414
P_1-1-pt_5193_L_JRT0ROZ9,18908.0,25200.0,6293.0,P_1-1-pt_5193,LTE,6293.0,1.0
P_1-1-pt_5199_B_03GFIC0M,18842.0,25200.0,6359.0,P_1-1-pt_5199,Bluetooth,6359.0,1.0
P_1-1-pt_521_L_JJK3G7CF,20705.0,25200.0,4496.0,P_1-1-pt_521,LTE,6656.0,0.6754807692307693
P_1-1-pt_5241_B_FSVFFOED,18944.0,25200.0,6257.0,P_1-1-pt_5241,Bluetooth,6257.0,1.0
P_1-1-pt_5258_B_GXW4R6K4,18405.0,25200.0,6796.0,P_1-1-pt_5258,Bluetooth,6796.0,1.0
P_1-1-pt_527_L_Z2ZGZVAU,19132.0,25200.0,6069.0,P_1-1-pt_527,LTE,6069.0,1.0
P_1-1-pt_5275_L_0S4E5P5O,19771.0,25200.0,5430.0,P_1-1-pt_5275,LTE,6382.0,0.8508304606706362
P_1-1-pt_5298_L_Z8NT3LYD,19628.0,25200.0,5573.0,P_1-1-pt_5298,LTE,5573.0,1.0
P_1-1-pt_530_L_D1UCIGJD,18121.0,25200.0,7080.0,P_1-1-pt_530,LTE,7080.0,1.0
P_1-1-pt_5324_L_MZINJDB9,19370.0,25200.0,5831.0,P_1-1-pt_5324,LTE,5831.0,1.0
P_1-1-pt_5357_B_QC3EW1X2,18646.0,25200.0,6555.0,P_1-1-pt_5357,Bluetooth,6555.0,1.0
P_1-1-pt_5392_B_MGC859GC,18264.0,25200.0,6937.0,P_1-1-pt_5392,Bluetooth,6937.0,1.0
P_1-1-pt_5481_B_LUM3BEFS,19326.0,25200.0,5875.0,P_1-1-pt_5481,Bluetooth,5875.0,1.0
P_1-1-pt_560_B_XD8TWZGD,18445.0,25200.0,6756.0,P_1-1-pt_560,Bluetooth,6756.0,1.0
P_1-1-pt_5666_B_AWHRLG34,19059.0,25200.0,6142.0,P_1-1-pt_5666,Bluetooth,6142.0,1.0
P_1-1-pt_571_L_E8LW5H2D,19234.0,25200.0,5967.0,P_1-1-pt_571,LTE,5967.0,1.0
P_1-1-pt_5897_B_QK2S9N6T,18949.0,25200.0,6252.0,P_1-1-pt_5897,Bluetooth,6252.0,1.0
P_1-1-pt_5906_L_PXRKBJXM,19460.0,25200.0,5741.0,P_1-1-pt_5906,LTE,5741.0,1.0
P_1-1-pt_5913_B_H5UA7LLQ,19687.0,25200.0,5514.0,P_1-1-pt_5913,Bluetooth,5514.0,1.0
P_1-1-pt_5942_B_CQ12FLUI,19816.0,25200.0,5385.0,P_1-1-pt_5942,Bluetooth,5385.0,1.0
P_1-1-pt_5997_B_K5LK3ETB,19213.0,25200.0,5988.0,P_1-1-pt_5997,Bluetooth,5988.0,1.0
P_1-1-pt_5999_L_ARN3QIFH,19475.0,25200.0,5726.0,P_1-1-pt_5999,LTE,5726.0,1.0
P_1-1-pt_6031_L_D1OLMYHV,18408.0,25200.0,6793.0,P_1-1-pt_6031,LTE,6793.0,1.0
P_1-1-pt_6176_L_5CNQPHA4,18820.0,25200.0,6381.0,P_1-1-pt_6176,LTE,6381.0,1.0
P_1-1-pt_6273_L_ZDC8CK79,19268.0,25200.0,5933.0,P_1-1-pt_6273,LTE,5933.0,1.0
P_1-1-pt_6292_B_NDUOC6JY,19134.0,24039.0,4906.0,P_1-1-pt_6292,Bluetooth,6282.0,0.7809614772365489
P_1-1-pt_6297_L_P70JVVBY,18634.0,25200.0,6567.0,P_1-1-pt_6297,LTE,6567.0,1.0
P_1-1-pt_6309_L_EA64W5OP,18381.0,25200.0,6820.0,P_1-1-pt_6309,LTE,6820.0,1.0
P_1-1-pt_6355_B_BR2XVSVA,18141.0,25200.0,7060.0,P_1-1-pt_6355,Bluetooth,7060.0,1.0
P_1-1-pt_6358_B_ECCJDU1E,19058.0,25200.0,6143.0,P_1-1-pt_6358,Bluetooth,6143.0,1.0
P_1-1-pt_6368_B_ERIWFE2S,18676.0,25200.0,6525.0,P_1-1-pt_6368,Bluetooth,6525.0,1.0
P_1-1-pt_6381_B_TV39NF7L,19020.0,25200.0,6181.0,P_1-1-pt_6381,Bluetooth,6181.0,1.0
P_1-1-pt_6389_B_S714Y7O0,19681.0,25200.0,5520.0,P_1-1-pt_6389,Bluetooth,5520.0,1.0
P_1-1-pt_6413_L_CBNCRC45,19164.0,25200.0,6037.0,P_1-1-pt_6413,LTE,6037.0,1.0
