id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-1-pt_0_B_G555AQQI,19303.0,25200.0,5898.0,P_1-1-pt_0,Bluetooth,5898.0,1.0
P_1-1-pt_1006_B_QCEZ5BSF,18151.0,25200.0,7050.0,P_1-1-pt_1006,Bluetooth,7050.0,1.0
P_1-1-pt_1020_B_YQ7SYECP,20440.0,25200.0,4761.0,P_1-1-pt_1020,Bluetooth,4761.0,1.0
P_1-1-pt_1034_B_UAKKU5YF,21157.0,25200.0,4044.0,P_1-1-pt_1034,Bluetooth,4044.0,1.0
P_1-1-pt_1037_L_YQ06K9NN,19361.0,24871.0,5511.0,P_1-1-pt_1037,LTE,5840.0,0.9436643835616438
P_1-1-pt_1039_B_B7NN8YEJ,18727.0,25200.0,6474.0,P_1-1-pt_1039,Bluetooth,6474.0,1.0
P_1-1-pt_1044_L_9E5BGWPD,21184.0,25200.0,4017.0,P_1-1-pt_1044,LTE,4017.0,1.0
P_1-1-pt_1108_L_KF9PCSU9,18505.0,25200.0,6696.0,P_1-1-pt_1108,LTE,6696.0,1.0
P_1-1-pt_1121_L_KFSJD2D0,19285.0,25200.0,5916.0,P_1-1-pt_1121,LTE,5916.0,1.0
P_1-1-pt_1138_L_CBLRSBWV,19577.0,25200.0,5624.0,P_1-1-pt_1138,LTE,5624.0,1.0
P_1-1-pt_1167_B_HCOI8NRI,18943.0,24147.0,5205.0,P_1-1-pt_1167,Bluetooth,6258.0,0.8317353787152445
P_1-1-pt_1173_B_0XV8EFR3,18820.0,25200.0,6381.0,P_1-1-pt_1173,Bluetooth,6381.0,1.0
P_1-1-pt_1181_B_2JUWUUQV,21741.0,25200.0,3460.0,P_1-1-pt_1181,Bluetooth,5145.0,0.6724975704567542
P_1-1-pt_1226_B_T6KTNVQ9,19788.0,25200.0,5413.0,P_1-1-pt_1226,Bluetooth,5413.0,1.0
P_1-1-pt_1232_B_7TFQ5XQS,20052.0,25200.0,5149.0,P_1-1-pt_1232,Bluetooth,5149.0,1.0
P_1-1-pt_1238_B_854RGNUI,18798.0,25200.0,6403.0,P_1-1-pt_1238,Bluetooth,6403.0,1.0
P_1-1-pt_1241_B_30UEA6FX,21328.0,25200.0,3873.0,P_1-1-pt_1241,Bluetooth,3873.0,1.0
P_1-1-pt_1270_B_4U3S9DFT,21486.0,25200.0,3715.0,P_1-1-pt_1270,Bluetooth,6731.0,0.5519239340365473
P_1-1-pt_1296_B_J4LN0I6D,20944.0,25200.0,4257.0,P_1-1-pt_1296,Bluetooth,6354.0,0.669971671388102
P_1-1-pt_1298_B_J6OR0H89,18866.0,25200.0,6335.0,P_1-1-pt_1298,Bluetooth,6335.0,1.0
P_1-1-pt_1304_B_1AJRRLZV,19347.0,25200.0,5854.0,P_1-1-pt_1304,Bluetooth,5854.0,1.0
P_1-1-pt_1306_L_13XOLI06,19029.0,25200.0,6172.0,P_1-1-pt_1306,LTE,6172.0,1.0
P_1-1-pt_1329_B_1AFAUC6T,18535.0,25200.0,6666.0,P_1-1-pt_1329,Bluetooth,6666.0,1.0
P_1-1-pt_1350_B_WLFBDGPX,20755.0,25200.0,4446.0,P_1-1-pt_1350,Bluetooth,4446.0,1.0
P_1-1-pt_1396_L_ML4GDQSM,20325.0,25200.0,4876.0,P_1-1-pt_1396,LTE,4876.0,1.0
P_1-1-pt_1401_L_CC453U22,20620.0,25200.0,4581.0,P_1-1-pt_1401,LTE,4581.0,1.0
P_1-1-pt_141_L_EL4ITVBG,22557.0,25200.0,2644.0,P_1-1-pt_141,LTE,4122.0,0.6414361960213488
P_1-1-pt_1420_B_83U8FVU3,19045.0,25200.0,6156.0,P_1-1-pt_1420,Bluetooth,6156.0,1.0
P_1-1-pt_1439_L_GUFECBO2,20175.0,25200.0,5026.0,P_1-1-pt_1439,LTE,5026.0,1.0
P_1-1-pt_1449_B_ZEJ50194,21165.0,25165.0,4001.0,P_1-1-pt_1449,Bluetooth,4036.0,0.9913280475718533
P_1-1-pt_1473_B_SYTXLMMO,19369.0,25200.0,5832.0,P_1-1-pt_1473,Bluetooth,5832.0,1.0
P_1-1-pt_1497_L_V3IZ1YU2,21640.0,25200.0,3561.0,P_1-1-pt_1497,LTE,5453.0,0.6530350265908674
P_1-1-pt_150_B_2OI1T7WW,19310.0,25200.0,5891.0,P_1-1-pt_150,Bluetooth,5891.0,1.0
P_1-1-pt_1528_B_ZPOT923O,20272.0,25200.0,4929.0,P_1-1-pt_1528,Bluetooth,4929.0,1.0
P_1-1-pt_1542_B_8YCW0TYE,20723.0,25200.0,4478.0,P_1-1-pt_1542,Bluetooth,4478.0,1.0
P_1-1-pt_1544_L_LWFCCRLB,20839.0,25200.0,4362.0,P_1-1-pt_1544,LTE,4362.0,1.0
P_1-1-pt_1560_B_PZ8AZ6AO,18507.0,25200.0,6694.0,P_1-1-pt_1560,Bluetooth,6694.0,1.0
P_1-1-pt_1594_L_3EOB7PJ5,20796.0,25200.0,4405.0,P_1-1-pt_1594,LTE,4405.0,1.0
P_1-1-pt_1601_B_SRO1IODC,19190.0,25200.0,6011.0,P_1-1-pt_1601,Bluetooth,6011.0,1.0
P_1-1-pt_1610_L_PDBFG07R,20950.0,25200.0,4251.0,P_1-1-pt_1610,LTE,4251.0,1.0
P_1-1-pt_1634_L_OR39KH9Y,20877.0,25200.0,4324.0,P_1-1-pt_1634,LTE,4324.0,1.0
P_1-1-pt_1669_L_6VOKGJ9J,18144.0,25200.0,7057.0,P_1-1-pt_1669,LTE,7057.0,1.0
P_1-1-pt_1670_L_0OLMB6L9,20044.0,25200.0,5157.0,P_1-1-pt_1670,LTE,5157.0,1.0
P_1-1-pt_1700_B_WHXM8EJD,19430.0,25200.0,5771.0,P_1-1-pt_1700,Bluetooth,5771.0,1.0
P_1-1-pt_1714_L_XJ3YRBVN,20661.0,25200.0,4540.0,P_1-1-pt_1714,LTE,6514.0,0.6969603929996929
P_1-1-pt_1722_L_3MK7UE8X,20812.0,25200.0,4389.0,P_1-1-pt_1722,LTE,4389.0,1.0
P_1-1-pt_1723_B_IX54L0AZ,19794.0,25200.0,5407.0,P_1-1-pt_1723,Bluetooth,5437.0,0.9944822512414935
P_1-1-pt_1747_L_CBPJBIB2,18970.0,24520.0,5551.0,P_1-1-pt_1747,LTE,6993.0,0.7937937937937938
P_1-1-pt_1798_L_4SH1HS9H,19627.0,24315.0,4689.0,P_1-1-pt_1798,LTE,5574.0,0.841227125941873
P_1-1-pt_182_B_L5DWURQJ,19060.0,25200.0,6141.0,P_1-1-pt_182,Bluetooth,6141.0,1.0
P_1-1-pt_1853_B_8CTCTGRF,20774.0,25200.0,4427.0,P_1-1-pt_1853,Bluetooth,4427.0,1.0
P_1-1-pt_192_B_5G0X2F0W,20251.0,25200.0,4950.0,P_1-1-pt_192,Bluetooth,4950.0,1.0
P_1-1-pt_1923_L_7X3WUC1V,20014.0,25200.0,5187.0,P_1-1-pt_1923,LTE,5187.0,1.0
P_1-1-pt_1963_L_W9H01O55,21071.0,25200.0,4130.0,P_1-1-pt_1963,LTE,4130.0,1.0
P_1-1-pt_1966_L_YA8FSKUQ,20278.0,25200.0,4923.0,P_1-1-pt_1966,LTE,6326.0,0.7782168827062915
P_1-1-pt_1995_B_0UPC80LD,21064.0,25200.0,4137.0,P_1-1-pt_1995,Bluetooth,4137.0,1.0
P_1-1-pt_2004_B_XJAXJABQ,20844.0,25200.0,4357.0,P_1-1-pt_2004,Bluetooth,4357.0,1.0
P_1-1-pt_2012_B_DJFPPVDL,21083.0,25200.0,4118.0,P_1-1-pt_2012,Bluetooth,4118.0,1.0
P_1-1-pt_2013_B_3HOD7QJX,19118.0,25200.0,6083.0,P_1-1-pt_2013,Bluetooth,6083.0,1.0
P_1-1-pt_2032_B_680J81J9,18740.0,25200.0,6461.0,P_1-1-pt_2032,Bluetooth,6461.0,1.0
P_1-1-pt_2129_B_K9O30ATP,19005.0,25200.0,6196.0,P_1-1-pt_2129,Bluetooth,6484.0,0.9555829734731647
P_1-1-pt_216_B_PBSA83QP,20231.0,25200.0,4970.0,P_1-1-pt_216,Bluetooth,4970.0,1.0
P_1-1-pt_2162_B_4C7EH1F7,18351.0,24472.0,6122.0,P_1-1-pt_2162,Bluetooth,6850.0,0.8937226277372263
P_1-1-pt_2164_L_048ZG1ER,20556.0,25200.0,4645.0,P_1-1-pt_2164,LTE,4645.0,1.0
P_1-1-pt_2170_L_PD9QWNIP,18672.0,25200.0,6529.0,P_1-1-pt_2170,LTE,6529.0,1.0
P_1-1-pt_2187_B_VFALWAIZ,21025.0,25200.0,4176.0,P_1-1-pt_2187,Bluetooth,4176.0,1.0
P_1-1-pt_2194_B_4Y5CTC6R,20330.0,25200.0,4871.0,P_1-1-pt_2194,Bluetooth,4871.0,1.0
P_1-1-pt_2218_L_LUSSVLJS,20673.0,25200.0,4528.0,P_1-1-pt_2218,LTE,5310.0,0.8527306967984934
