id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-1-pt_0_L_FNEMBM96,19303.0,25200.0,5898.0,P_1-1-pt_0,LTE,5898.0,1.0
P_1-1-pt_1006_L_P5RR67IB,18151.0,22021.0,3871.0,P_1-1-pt_1006,LTE,7050.0,0.5490780141843972
P_1-1-pt_101_B_YD80P2BP,21508.0,25200.0,3693.0,P_1-1-pt_101,Bluetooth,3693.0,1.0
P_1-1-pt_1020_B_TNEFUIF0,20440.0,25200.0,4761.0,P_1-1-pt_1020,Bluetooth,4761.0,1.0
P_1-1-pt_1034_L_QF4GHEF9,21157.0,25200.0,4044.0,P_1-1-pt_1034,LTE,4044.0,1.0
P_1-1-pt_1037_B_MY9ZM3T5,22237.0,25200.0,2964.0,P_1-1-pt_1037,Bluetooth,5840.0,0.5075342465753425
P_1-1-pt_1039_L_27DBSEQC,18727.0,25200.0,6474.0,P_1-1-pt_1039,LTE,6474.0,1.0
P_1-1-pt_1044_B_QP30HX5D,21858.0,25200.0,3343.0,P_1-1-pt_1044,Bluetooth,4017.0,0.8322130943490167
P_1-1-pt_1108_B_OYZRZSAU,18505.0,21991.0,3487.0,P_1-1-pt_1108,Bluetooth,6696.0,0.5207586618876942
P_1-1-pt_1121_L_CT3DZKHM,19285.0,25200.0,5916.0,P_1-1-pt_1121,LTE,5916.0,1.0
P_1-1-pt_1138_B_5BR9T95P,19577.0,25120.0,5544.0,P_1-1-pt_1138,Bluetooth,5624.0,0.9857752489331437
P_1-1-pt_1167_B_FEG2AQBX,18956.0,25200.0,6245.0,P_1-1-pt_1167,Bluetooth,6258.0,0.9979226589964845
P_1-1-pt_1170_L_S2EIL9MO,22384.0,24140.0,1757.0,P_1-1-pt_1170,LTE,2817.0,0.6237131700390486
P_1-1-pt_1173_B_IGVHDCT9,18820.0,25200.0,6381.0,P_1-1-pt_1173,Bluetooth,6381.0,1.0
P_1-1-pt_1181_B_N0R4J447,20056.0,25200.0,5145.0,P_1-1-pt_1181,Bluetooth,5145.0,1.0
P_1-1-pt_1189_B_4DD91F6Y,22129.0,25200.0,3072.0,P_1-1-pt_1189,Bluetooth,3072.0,1.0
P_1-1-pt_119_L_WG1EX6EY,21566.0,24080.0,2515.0,P_1-1-pt_119,LTE,3635.0,0.6918844566712518
P_1-1-pt_1204_B_Y03GKPWO,22111.0,25200.0,3090.0,P_1-1-pt_1204,Bluetooth,3090.0,1.0
P_1-1-pt_1222_B_SOICYSUK,21564.0,25200.0,3637.0,P_1-1-pt_1222,Bluetooth,3637.0,1.0
P_1-1-pt_1226_L_52231Z7J,19788.0,25023.0,5236.0,P_1-1-pt_1226,LTE,5413.0,0.9673009421762424
P_1-1-pt_1232_B_LTJZGF9E,20052.0,25200.0,5149.0,P_1-1-pt_1232,Bluetooth,5149.0,1.0
P_1-1-pt_1238_B_Y6WZF5B7,18798.0,25200.0,6403.0,P_1-1-pt_1238,Bluetooth,6403.0,1.0
P_1-1-pt_1240_L_MP3OA6KH,21777.0,25200.0,3424.0,P_1-1-pt_1240,LTE,3424.0,1.0
