BLE,LTE,Device
1e:65:2e:c1:52:d0,100,DEV_01
d7:71:49:42:8e:f7,102,DEV_01
0b:b9:1a:2c:15:57,200,DEV_02
39:71:91:9d:cc:32,202,DEV_02
7f:9e:55:97:1c:b8,203,DEV_03
d9:1a:cd:ad:c7:e6,205,DEV_03
ce:8d:7e:11:e3:f2,206,DEV_04
c4:e4:c7:a3:ac:33,208,DEV_04
5b:a9:bc:8d:eb:e2,209,DEV_05
d2:43:34:c8:60:d3,211,DEV_05
15:e4:9e:42:ea:7d,212,DEV_06
f7:7c:d7:43:eb:87,214,DEV_06
69:dd:e9:ad:2d:38,215,DEV_07
95:82:13:45:65:f8,217,DEV_07
99:67:d9:e5:6f:95,400,DEV_08
71:cb:fd:42:75:b3,402,DEV_08
12:9a:81:22:80:1b,450,DEV_09
8d:b1:49:c1:af:7d,452,DEV_09
b6:20:3d:d7:d3:24,500,DEV_10
67:02:d7:55:d7:cb,502,DEV_10
4c:96:a2:b8:5a:d7,503,DEV_11
b5:fc:36:c4:6d:82,505,DEV_11
fd:47:01:cb:1e:1b,506,DEV_12
53:9c:ee:fb:67:36,508,DEV_12
