Device,Protocol,Position,Identifier
DEV_01,BLE,0,1e:65:2e:c1:52:d0
DEV_01,BLE,1,d7:71:49:42:8e:f7
DEV_01,LTE,0,100
DEV_01,LTE,1,101
DEV_01,LTE,2,102
DEV_02,BLE,0,0b:b9:1a:2c:15:57
DEV_02,BLE,1,00:a5:3a:80:97:00
DEV_02,BLE,2,39:71:91:9d:cc:32
DEV_02,LTE,0,200
DEV_02,LTE,1,201
DEV_02,LTE,2,202
DEV_03,BLE,0,7f:9e:55:97:1c:b8
DEV_03,BLE,1,31:f2:ba:63:a8:05
DEV_03,BLE,2,d9:1a:cd:ad:c7:e6
DEV_03,LTE,0,203
DEV_03,LTE,1,204
DEV_03,LTE,2,205
DEV_04,BLE,0,ce:8d:7e:11:e3:f2
DEV_04,BLE,1,93:e2:9e:1f:d3:a0
DEV_04,BLE,2,c4:e4:c7:a3:ac:33
DEV_04,LTE,0,206
DEV_04,LTE,1,207
DEV_04,LTE,2,208
DEV_05,BLE,0,5b:a9:bc:8d:eb:e2
DEV_05,BLE,1,11:ec:3d:ed:74:5a
DEV_05,BLE,2,d2:43:34:c8:60:d3
DEV_05,LTE,0,209
DEV_05,LTE,1,210
DEV_05,LTE,2,211
DEV_06,BLE,0,15:e4:9e:42:ea:7d
DEV_06,BLE,1,ab:77:4d:9d:33:d7
DEV_06,BLE,2,f7:7c:d7:43:eb:87
DEV_06,LTE,0,212
DEV_06,LTE,1,213
DEV_06,LTE,2,214
DEV_07,BLE,0,69:dd:e9:ad:2d:38
DEV_07,BLE,1,a9:cd:0a:71:21:c5
DEV_07,BLE,2,95:82:13:45:65:f8
DEV_07,LTE,0,215
DEV_07,LTE,1,216
DEV_07,LTE,2,217
DEV_08,BLE,0,99:67:d9:e5:6f:95
DEV_08,BLE,1,71:cb:fd:42:75:b3
DEV_08,LTE,0,400
DEV_08,LTE,1,401
DEV_08,LTE,2,402
DEV_09,BLE,0,12:9a:81:22:80:1b
DEV_09,BLE,1,8d:b1:49:c1:af:7d
DEV_09,LTE,0,450
DEV_09,LTE,1,451
DEV_09,LTE,2,452
DEV_10,BLE,0,b6:20:3d:d7:d3:24
DEV_10,BLE,1,c7:74:36:11:a0:07
DEV_10,BLE,2,67:02:d7:55:d7:cb
DEV_10,LTE,0,500
DEV_10,LTE,1,501
DEV_10,LTE,2,502
DEV_11,BLE,0,4c:96:a2:b8:5a:d7
DEV_11,BLE,1,e9:c3:0b:28:28:2d
DEV_11,BLE,2,b5:fc:36:c4:6d:82
DEV_11,LTE,0,503
DEV_11,LTE,1,504
DEV_11,LTE,2,505
DEV_12,BLE,0,fd:47:01:cb:1e:1b
DEV_12,BLE,1,e9:a1:bb:86:1b:8d
DEV_12,BLE,2,53:9c:ee:fb:67:36
DEV_12,LTE,0,506
DEV_12,LTE,1,507
DEV_12,LTE,2,508
