BLE,LTE
00:a5:3a:80:97:00,200
00:a5:3a:80:97:00,201
00:a5:3a:80:97:00,202
0b:b9:1a:2c:15:57,200
1e:65:2e:c1:52:d0,100
1e:65:2e:c1:52:d0,101
d7:71:49:42:8e:f7,101
d7:71:49:42:8e:f7,102
11:ec:3d:ed:74:5a,209
11:ec:3d:ed:74:5a,210
11:ec:3d:ed:74:5a,211
12:9a:81:22:80:1b,450
12:9a:81:22:80:1b,451
15:e4:9e:42:ea:7d,212
1e:65:2e:c1:52:d0,501
1e:65:2e:c1:52:d0,504
1e:65:2e:c1:52:d0,507
39:71:91:9d:cc:32,201
39:71:91:9d:cc:32,202
31:f2:ba:63:a8:05,203
7f:9e:55:97:1c:b8,203
31:f2:ba:63:a8:05,204
d9:1a:cd:ad:c7:e6,204
31:f2:ba:63:a8:05,205
d9:1a:cd:ad:c7:e6,205
93:e2:9e:1f:d3:a0,206
ce:8d:7e:11:e3:f2,206
93:e2:9e:1f:d3:a0,207
c4:e4:c7:a3:ac:33,207
93:e2:9e:1f:d3:a0,208
c4:e4:c7:a3:ac:33,208
5b:a9:bc:8d:eb:e2,209
d2:43:34:c8:60:d3,210
d2:43:34:c8:60:d3,211
ab:77:4d:9d:33:d7,212
ab:77:4d:9d:33:d7,213
f7:7c:d7:43:eb:87,213
ab:77:4d:9d:33:d7,214
f7:7c:d7:43:eb:87,214
69:dd:e9:ad:2d:38,215
a9:cd:0a:71:21:c5,215
95:82:13:45:65:f8,216
a9:cd:0a:71:21:c5,216
95:82:13:45:65:f8,217
a9:cd:0a:71:21:c5,217
99:67:d9:e5:6f:95,400
71:cb:fd:42:75:b3,401
99:67:d9:e5:6f:95,401
71:cb:fd:42:75:b3,402
8d:b1:49:c1:af:7d,451
8d:b1:49:c1:af:7d,452
4c:96:a2:b8:5a:d7,501
4c:96:a2:b8:5a:d7,503
4c:96:a2:b8:5a:d7,504
4c:96:a2:b8:5a:d7,507
b6:20:3d:d7:d3:24,500
b6:20:3d:d7:d3:24,501
d7:71:49:42:8e:f7,501
fd:47:01:cb:1e:1b,501
67:02:d7:55:d7:cb,502
c7:74:36:11:a0:07,502
e9:a1:bb:86:1b:8d,502
e9:c3:0b:28:28:2d,502
b6:20:3d:d7:d3:24,504
d7:71:49:42:8e:f7,504
fd:47:01:cb:1e:1b,504
b5:fc:36:c4:6d:82,505
c7:74:36:11:a0:07,505
e9:a1:bb:86:1b:8d,505
e9:c3:0b:28:28:2d,505
fd:47:01:cb:1e:1b,506
b6:20:3d:d7:d3:24,507
d7:71:49:42:8e:f7,507
fd:47:01:cb:1e:1b,507
53:9c:ee:fb:67:36,508
c7:74:36:11:a0:07,508
e9:a1:bb:86:1b:8d,508
e9:c3:0b:28:28:2d,508
