Protocol,From,To
BLE,0b:b9:1a:2c:15:57,00:a5:3a:80:97:00
BLE,1e:65:2e:c1:52:d0,d7:71:49:42:8e:f7
BLE,99:67:d9:e5:6f:95,71:cb:fd:42:75:b3
BLE,7f:9e:55:97:1c:b8,31:f2:ba:63:a8:05
BLE,12:9a:81:22:80:1b,8d:b1:49:c1:af:7d
BLE,ce:8d:7e:11:e3:f2,93:e2:9e:1f:d3:a0
BLE,5b:a9:bc:8d:eb:e2,11:ec:3d:ed:74:5a
BLE,15:e4:9e:42:ea:7d,ab:77:4d:9d:33:d7
BLE,69:dd:e9:ad:2d:38,a9:cd:0a:71:21:c5
BLE,00:a5:3a:80:97:00,39:71:91:9d:cc:32
BLE,31:f2:ba:63:a8:05,d9:1a:cd:ad:c7:e6
BLE,93:e2:9e:1f:d3:a0,c4:e4:c7:a3:ac:33
BLE,11:ec:3d:ed:74:5a,d2:43:34:c8:60:d3
BLE,ab:77:4d:9d:33:d7,f7:7c:d7:43:eb:87
BLE,a9:cd:0a:71:21:c5,95:82:13:45:65:f8
BLE,c7:74:36:11:a0:07,67:02:d7:55:d7:cb
BLE,c7:74:36:11:a0:07,b5:fc:36:c4:6d:82
BLE,c7:74:36:11:a0:07,53:9c:ee:fb:67:36
BLE,e9:c3:0b:28:28:2d,67:02:d7:55:d7:cb
BLE,e9:c3:0b:28:28:2d,b5:fc:36:c4:6d:82
BLE,e9:c3:0b:28:28:2d,53:9c:ee:fb:67:36
BLE,e9:a1:bb:86:1b:8d,67:02:d7:55:d7:cb
BLE,e9:a1:bb:86:1b:8d,b5:fc:36:c4:6d:82
BLE,e9:a1:bb:86:1b:8d,53:9c:ee:fb:67:36
LTE,100,101
LTE,200,201
LTE,400,401
LTE,500,501
LTE,500,504
LTE,500,507
LTE,450,451
LTE,203,204
LTE,503,501
LTE,503,504
LTE,503,507
LTE,206,207
LTE,506,501
LTE,506,504
LTE,506,507
LTE,209,210
LTE,212,213
LTE,215,216
LTE,101,102
LTE,201,202
LTE,204,205
LTE,207,208
LTE,210,211
LTE,213,214
LTE,216,217
LTE,401,402
LTE,451,452
