Time,Protocol,RNTI,Info
10,MAC-LTE,100,"UL-SCH: (SFN=688 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:128 bytes) (Padding:remainder) "
10,MAC-LTE,200,"UL-SCH: (SFN=134 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
10,MAC-LTE,400,"UL-SCH: (SFN=231 , SF=6) UEId=0   (Long BSR) (Padding:remainder) "
10,MAC-LTE,500,"UL-SCH: (SFN=363 , SF=9) UEId=0   (Long BSR) (Padding:remainder) "
10.2,MAC-LTE,450,"UL-SCH: (SFN=771 , SF=2) UEId=0   (Short BSR) (3:77 bytes) (Padding:remainder) "
10.5,MAC-LTE,203,"UL-SCH: (SFN=845 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:96 bytes) (Padding:remainder) "
10.670928,MAC-LTE,100,"UL-SCH: (SFN=105 , SF=7) UEId=0   (Short BSR) (3:206 bytes) (Padding:remainder) "
10.7,MAC-LTE,503,"UL-SCH: (SFN=71  , SF=4) UEId=0   (Long BSR) "
11,MAC-LTE,206,"UL-SCH: (SFN=459 , SF=6) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
11.4,MAC-LTE,506,"UL-SCH: (SFN=96  , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:140 bytes) (Padding:remainder) "
11.5,MAC-LTE,209,"UL-SCH: (SFN=236 , SF=5) UEId=0   (Short BSR) (3:69 bytes) (Padding:remainder) "
11.902316,MAC-LTE,209,"UL-SCH: (SFN=372 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:96 bytes) (Padding:remainder) "
12,MAC-LTE,212,"UL-SCH: (SFN=123 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
12.106446,MAC-LTE,203,"UL-SCH: (SFN=757 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
12.5,MAC-LTE,215,"UL-SCH: (SFN=406 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
12.692584,MAC-LTE,215,"UL-SCH: (SFN=167 , SF=0) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
12.988273,MAC-LTE,450,"UL-SCH: (SFN=3   , SF=6) UEId=0   (Short BSR) (3:remainder) (Padding:remainder) "
13.019488,MAC-LTE,209,"UL-SCH: (SFN=947 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
13.692883,MAC-LTE,503,"UL-SCH: (SFN=153 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
13.800785,MAC-LTE,450,"UL-SCH: (SFN=145 , SF=6) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
13.853678,MAC-LTE,215,"UL-SCH: (SFN=449 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
